# curie_map:
#   ocsf: 'https://w3id.org/lmodel/ocsf/'
#   uco_master: 'https://lmodel.github.io/uco-master/'
#   skos: 'http://www.w3.org/2004/02/skos/core#'
#   semapv: 'https://w3id.org/semapv/vocab/'
# license: 'https://creativecommons.org/licenses/by/4.0/'
# mapping_set_id: 'https://w3id.org/lmodel/ocsf/mappings/ocsf-uco'
# mapping_set_title: 'OCSF to UCO (Unified Cyber Ontology) class mappings'
# mapping_set_description: |
#   Class-level mappings between OCSF (Open Cybersecurity Schema Framework)
#   and UCO master schema (Unified Cyber Ontology).  UCO is an upper-level
#   cyber observable ontology with very granular sub-typing (e.g. Process /
#   UNIXProcess / WindowsProcess).  Where OCSF has a corresponding
#   platform-specific extension class, the platform-specific UCO class is
#   the exact match; otherwise the abstract UCO class is the exact match.
# mapping_set_version: '1.0.0'
# creator_id: 'https://orcid.org/0000-0000-0000-0000'
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
ocsf:OcsfObject	OCSF Object root	skos:broadMatch	uco_master:UcoObject	UcoObject	semapv:ManualMappingCuration	0.85	Both are abstract roots; OCSF is narrower (cybersecurity events/objects), UCO covers the full cyber observable space.
ocsf:Observable	Observable	skos:closeMatch	uco_master:ObservableObject	ObservableObject	semapv:ManualMappingCuration	0.85	OCSF Observable parallels UCO ObservableObject (a directly-observed cyber artefact).
ocsf:Observation	Observation	skos:exactMatch	uco_master:Observation	Observation	semapv:ManualMappingCuration	0.95	Direct correspondence — both model a temporal perception of an observable.
ocsf:Process	Process	skos:exactMatch	uco_master:Process	Process	semapv:ManualMappingCuration	0.95	Direct correspondence; UCO Process is the abstract parent of OS-specific variants.
ocsf:LinuxProcess	Linux Process	skos:exactMatch	uco_master:UNIXProcess	UNIXProcess	semapv:ManualMappingCuration	0.9	OCSF's Linux extension narrows Process to UNIX semantics (uid/gid/etc).
ocsf:MacosProcess	macOS Process	skos:closeMatch	uco_master:UNIXProcess	UNIXProcess	semapv:ManualMappingCuration	0.85	macOS is UNIX-derived; UCO has no separate MacOSProcess class.
ocsf:WindowsProcess	Windows Process	skos:exactMatch	uco_master:WindowsProcess	WindowsProcess	semapv:ManualMappingCuration	0.95	Direct correspondence.
ocsf:File	File	skos:exactMatch	uco_master:File	File	semapv:ManualMappingCuration	0.95	Direct correspondence.
ocsf:Url	URL	skos:exactMatch	uco_master:URL	URL	semapv:ManualMappingCuration	0.95	Direct correspondence.
ocsf:Email	Email	skos:exactMatch	uco_master:EmailMessage	EmailMessage	semapv:ManualMappingCuration	0.95	Direct correspondence.
